ciclo;finalidade;entrada;saida
3;HT;21/07/2021;24/07/2021
4;KD;24/07/2021;27/07/2021
5;KD;27/07/2021;30/07/2021
6;KD;31/07/2021;03/08/2021
7;KD;03/08/2021;06/08/2021
8;KD;06/08/2021;09/08/2021
9;KD;09/08/2021;11/08/2021
10;KD;12/08/2021;15/08/2021
11;KD;15/08/2021;17/08/2021
12;KD;18/08/2021;21/08/2021
13;KD;21/08/2021;24/08/2021
14;KD;21/10/2021;24/10/2021
15;KD;24/10/2021;27/10/2021
16;HT;27/10/2021;29/10/2021
17;KD;02/11/2021;04/11/2021
18;KD;04/11/2021;07/11/2021
19;KD;07/11/2021;09/11/2021
20;KD;10/11/2021;11/11/2021
21;KD;13/11/2021;15/11/2021
22;KD;16/11/2021;18/11/2021
23;KD;19/11/2021;22/11/2021
24;KD;22/11/2021;24/11/2021
25;KD;25/11/2021;27/11/2021
26;KD;28/11/2021;30/11/2021
27;KD;01/12/2021;03/12/2021
28;KD;04/12/2021;07/12/2021
29;KD;07/12/2021;09/12/2021
30;KD;10/12/2021;12/12/2021
31;KD;13/12/2021;16/12/2021
32;KD;16/12/2021;18/12/2021
33;KD;19/12/2021;21/12/2021
34;KD;12/01/2022;13/01/2022
35;KD;17/01/2022;19/01/2022
36;KD;20/01/2022;23/01/2022
37;KD;23/01/2022;24/01/2022
38;KD;26/01/2022;27/01/2022
39;KD;29/01/2022;31/01/2022
40;KD;31/01/2022;02/02/2022
41;KD;03/02/2022;05/02/2022
42;KD;08/02/2022;10/02/2022
43;KD;11/02/2022;13/02/2022
44;KD;14/02/2022;16/02/2022
45;HT;17/02/2022;20/02/2022
46;KD;21/02/2022;24/02/2022
47;KD;25/02/2022;28/02/2022
48;KD;06/04/2022;08/04/2022
49;KD;25/04/2022;27/04/2022
50;KD;28/04/2022;29/04/2022
51;KD;01/05/2022;02/05/2022
52;KD;04/05/2022;06/05/2022
53;KD;07/05/2022;09/05/2022
54;KD;10/05/2022;12/05/2022
55;KD;16/05/2022;17/05/2022
56;KD;17/05/2022;18/05/2022
57;KD;19/05/2022;20/05/2022
58;KD;22/05/2022;23/05/2022
59;KD;25/05/2022;27/05/2022
60;KD;16/06/2022;18/06/2022
61;KD;23/06/2022;26/06/2022
62;KD;29/06/2022;30/06/2022
63;KD;02/07/2022;04/07/2022
64;KD;09/07/2022;11/07/2022
65;KD;12/07/2022;13/07/2022
67;KD;25/08/2022;27/08/2022
68;KD;28/10/2022;01/11/2022
69;HT;04/11/2022;04/11/2022
